,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
14598,71,73,0.4788732394366197,0.5492957746478874,1.0140845070422535,0.5070422535211268,1,0,0,0,0,0,1.03
15330,50,41,0.5,0.32,0.86,0.06,1,0,0,0,0,0,0.82
15887,72,57,0.3194444444444444,0.4722222222222222,1.5555555555555556,-0.06944444444444445,1,0,0,0,0,0,0.79
13891,1,0,0.0,0.0,7.0,-1.0,0,1,0,0,0,0,0.0
14494,1,0,0.0,0.0,0.0,-2.0,0,1,0,0,0,0,0.0
15111,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0
18422,2,0,0.0,0.0,2.5,0.0,0,0,0,0,1,0,0.0
18854,58,11,0.05172413793103448,0.13793103448275862,2.293103448275862,0.017241379310344827,0,0,0,0,1,0,0.19
19819,7,1,0.0,0.14285714285714285,0.2857142857142857,-0.5714285714285714,0,0,0,0,1,0,0.14
25385,8,0,0.0,0.0,0.25,-0.625,0,1,0,0,0,0,0.0
27088,2,0,0.0,0.0,0.0,-1.0,0,1,0,0,0,0,0.0
28007,4,0,0.0,0.0,0.0,-0.25,0,1,0,0,0,0,0.0
19548,83,16,0.07228915662650602,0.12048192771084337,3.2289156626506026,0.012048192771084338,0,0,0,1,0,0,0.19
20330,51,12,0.09803921568627451,0.13725490196078433,2.2549019607843137,-0.058823529411764705,0,0,0,1,0,0,0.24
21153,34,5,0.058823529411764705,0.08823529411764706,3.5,0.08823529411764706,0,0,0,1,0,0,0.15
41243,21,3,0.0,0.14285714285714285,0.19047619047619047,-0.09523809523809523,1,0,0,0,0,0,0.14
42062,13,5,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.0,1,0,0,0,0,0,0.39
43089,9,1,0.1111111111111111,0.0,0.4444444444444444,-0.1111111111111111,1,0,0,0,0,0,0.11
410,29,0,0.0,0.0,0.20689655172413793,0.0,0,1,0,0,0,0,0.0
546,13,0,0.0,0.0,0.15384615384615385,0.0,0,1,0,0,0,0,0.0
758,44,4,0.09090909090909091,0.0,0.45454545454545453,0.0,0,1,0,0,0,0,0.09
5803,61,13,0.08196721311475409,0.13114754098360656,0.7377049180327869,0.0,0,1,0,0,0,0,0.21
5962,65,13,0.015384615384615385,0.18461538461538463,1.646153846153846,0.0,0,1,0,0,0,0,0.2
6118,65,14,0.06153846153846154,0.15384615384615385,0.8307692307692308,0.0,0,1,0,0,0,0,0.22
1354,48,8,0.10416666666666667,0.0625,1.2916666666666667,0.0,0,1,0,0,0,0,0.17
1534,39,4,0.02564102564102564,0.07692307692307693,1.0256410256410255,0.0,0,1,0,0,0,0,0.1
1733,4,0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0
4417,68,8,0.029411764705882353,0.08823529411764706,0.75,0.0,0,1,0,0,0,0,0.12
4560,70,7,0.02857142857142857,0.07142857142857142,0.4857142857142857,0.0,0,1,0,0,0,0,0.1
4720,14,1,0.07142857142857142,0.0,0.5714285714285714,0.0,0,1,0,0,0,0,0.07
