playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
Radoslav Suchy,533,92,0.17,0.03510852345736717,0.133335689930906,0.21490200468206616,0.0435660920889313,0.0,1.0,0.0,0.0,0.0,0
Radovan Somik,166,46,0.2733333333333334,0.09475890985324947,0.18134171907756813,0.2693920335429769,0.02484276729559749,0.0,0.0,0.0,0.0,1.0,0
Rafael Harvey-Pinard,3,1,0.33,0.3333333333333333,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0
Raffi Torres,715,294,0.39357142857142857,0.2003468995402667,0.1929192504347003,0.7301216964902524,0.06639344367871561,0.0,0.0,0.0,1.0,0.0,0
Raimo Helminen,117,59,0.4566666666666667,0.08908529741863075,0.3660213243546577,0.1307519640852974,-0.34918630751964086,1.0,0.0,0.0,0.0,0.0,0
Raimo Summanen,151,76,0.8880000000000001,0.24477510103395791,0.642801658531465,0.34000419881383503,0.30117041935653177,0.0,0.0,0.0,1.0,0.0,0
Raitis Ivanans,282,18,0.037142857142857144,0.024159090128808947,0.012571902982861887,2.192033070447386,-0.40074502600948403,0.0,0.0,0.0,1.0,0.0,0
Ralph Backstrom,1032,639,0.5770588235294117,0.2392154349638444,0.33802915012452606,0.3304368255635086,-0.011397257104040813,1.0,0.0,0.0,0.0,0.0,0
Ralph Barahona,6,4,0.665,0.3333333333333333,0.3333333333333333,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0
Ralph Bowman,281,25,0.09714285714285713,0.025313349441256416,0.07393409028899423,0.8752519416321237,0.0,0.0,1.0,0.0,0.0,0.0,0
Ralph Intranuovo,22,6,0.49333333333333335,0.0673076923076923,0.42628205128205127,0.1346153846153846,0.21474358974358973,0.0,0.0,0.0,1.0,0.0,0
Ralph Keller,3,1,0.33,0.3333333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Ralph Klassen,497,145,0.24333333333333332,0.08485374189136236,0.15790782852668309,0.21116955019207007,-0.3245684171129424,1.0,0.0,0.0,0.0,0.0,0
Ralph MacSweyn,47,5,0.134,0.0,0.13333333333333333,0.09705882352941177,0.0009803921568627416,0.0,1.0,0.0,0.0,0.0,0
Ralph Nattrass,223,56,0.2525,0.08445378151260505,0.1678221288515406,1.3374649859943977,0.0,0.0,1.0,0.0,0.0,0.0,0
Ralph Stewart,252,130,0.4471428571428571,0.17084374915108075,0.2779827361854708,0.08173946516497788,-0.19445879940806363,1.0,0.0,0.0,0.0,0.0,0
